#station,latitude,longitude,elevevation
AV34,54.7249078032224,-163.712920019007,636.430509446411
AV35,54.8466937612671,-164.386917070123,647.007759805829
AV36,54.771793125837,-164.12680455111,648.438559724656
AV37,54.7093785559841,-163.997235439584,796.070296258819
AV38,54.8314675698823,-163.780874383439,492.340492033123
AV39,54.8113405897002,-163.998467493709,797.406946064891
AV40,54.6445354511815,-163.742968447339,413.974661452439
AVN2,36.53212,-96.081021,261
AVRY,34.468302111706,-117.153974955275,888.920810085666
AZU1,34.126020387293,-117.896491580452,144.749670783722
B001,48.04307,-123.13141,237
B003,48.06236,-124.14086,284.6646
B004,48.20193,-124.42701,30
B005,48.059549,-123.503278,302.7
B006,48.0588,-123.5008,302
B007,48.05758,-123.50411,293
B009,48.64867,-123.45117,15
B010,48.65017,-123.45133,5
B011,48.64954,-123.44819,22
B012,48.92463,-125.54198,13
B013,47.813,-122.9108,75.3
B014,47.5133,-123.8125,64.7
B017,46.996,-123.5575,33.9
B018,46.9795,-123.0203,10
B019,46.6527,-123.6518,9
B020,46.3827,-123.8445,31.2
B022,45.95461,-123.93105,10
B023,46.1112,-123.0787,177.4
B024,45.6378,-123.8558,37.7
B026,45.309351,-123.823049,232
B027,44.497333,-122.962167,216
B028,44.493667,-122.963833,140
B030,43.9713,-122.7717,263.6
B031,43.6643,-123.3967,71
B032,43.668,-123.3923,63.8
B033,43.2917,-123.1245,312.1
B035,42.50351,-123.38342,370
B036,42.505833,-123.381667,315.3
B039,41.4667,-122.4847,923.9
B040,41.8308,-122.4205,819.5
B045,40.436,-123.9965,29.4
B046,40.32197,-124.2843,44
B047,40.25047,-124.17133,80
B049,40.2375,-123.8197,117
B054,37.8602,-122.1995,405.6
B057,38.0273,-122.5655,14.4
B058,36.7995,-121.5808,114.2
B065,36.74366667,-121.4741667,643
B066,36.8575333,-121.592167,67
B067,36.765,-121.5655,126.2
B072,35.831,-120.345,397.7
B073,35.9467,-120.4717,535.28
B075,35.9292,-120.5153,583
B076,35.9398,-120.4248,445
B078,35.8377,-120.3452,386.8
B079,35.7157,-120.2057,436.6
B081,33.711167,-116.714167,1467
B082,33.598182,-116.5960046,1374.842
